"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1 Win=21372 Len=0"
"2","0.002816","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=1 Ack=1 Win=1825 Len=120"
"3","0.045795","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=121 Win=21252 Len=0"
"4","0.048663","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=121 Ack=1 Win=1825 Len=80"
"5","0.092667","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=201 Win=21172 Len=0"
"6","0.095707","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=201 Ack=1 Win=1825 Len=80"
"7","0.140145","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=281 Win=21092 Len=0"
"8","0.148192","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=281 Ack=1 Win=1825 Len=120"
"9","0.201249","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=401 Win=20972 Len=0"
"10","0.205146","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=401 Ack=1 Win=1825 Len=80"
"11","0.247053","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=481 Win=20892 Len=0"
"12","0.358600","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0xd849, seq=0/0, ttl=64 (reply in 13)"
"13","0.358926","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0xd849, seq=0/0, ttl=128 (request in 12)"
"14","0.424811","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"15","0.458191","192.168.100.1","192.168.100.102","TCP","574","8888  >  64383 [PSH, ACK] Seq=481 Ack=1 Win=1825 Len=520"
"16","0.508376","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1001 Win=20372 Len=0"
"17","0.511779","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=1001 Ack=1 Win=1825 Len=120"
"18","0.554648","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1121 Win=20252 Len=0"
"19","0.557613","192.168.100.1","192.168.100.102","TCP","238","8888  >  64383 [PSH, ACK] Seq=1121 Ack=1 Win=1825 Len=184"
"20","0.601317","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1305 Win=20068 Len=0"
"21","0.604481","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=1305 Ack=1 Win=1825 Len=80"
"22","0.647987","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1385 Win=19988 Len=0"
"23","0.651137","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=1385 Ack=1 Win=1825 Len=120"
"24","0.694973","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1505 Win=19868 Len=0"
"25","0.697635","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=1505 Ack=1 Win=1825 Len=80"
"26","0.742274","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1585 Win=19788 Len=0"
"27","0.745268","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=1585 Ack=1 Win=1825 Len=80"
"28","0.788286","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1665 Win=19708 Len=0"
"29","0.791102","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=1665 Ack=1 Win=1825 Len=120"
"30","0.834403","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1785 Win=19588 Len=0"
"31","0.837290","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=1785 Ack=1 Win=1825 Len=80"
"32","0.880963","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=1865 Win=19508 Len=0"
"33","0.884133","192.168.100.1","192.168.100.102","TCP","240","8888  >  64383 [PSH, ACK] Seq=1865 Ack=1 Win=1825 Len=186"
"34","0.927423","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2051 Win=19322 Len=0"
"35","0.930290","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=2051 Ack=1 Win=1825 Len=120"
"36","0.973066","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2171 Win=19202 Len=0"
"37","0.976286","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=2171 Ack=1 Win=1825 Len=80"
"38","1.020633","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2251 Win=19122 Len=0"
"39","1.024416","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=2251 Ack=1 Win=1825 Len=80"
"40","1.066534","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2331 Win=19042 Len=0"
"41","1.069347","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=2331 Ack=1 Win=1825 Len=120"
"42","1.113240","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2451 Win=18922 Len=0"
"43","1.122962","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=2451 Ack=1 Win=1825 Len=80"
"44","1.175926","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2531 Win=18842 Len=0"
"45","1.178869","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=2531 Ack=1 Win=1825 Len=120"
"46","1.222648","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2651 Win=18722 Len=0"
"47","1.225613","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=2651 Ack=1 Win=1825 Len=80"
"48","1.269728","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=2731 Win=18642 Len=0"
"49","1.272656","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=2731 Ack=1 Win=1825 Len=120"
