"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"2","1.000417","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"3","1.136108","192.168.100.102","224.0.0.251","MDNS","204","Standard query response 0x0000 PTR HP-JG._dosvc._tcp.local SRV 0 0 7680 HP-JG.local TXT"
"4","1.137053","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","224","Standard query response 0x0000 PTR HP-JG._dosvc._tcp.local SRV 0 0 7680 HP-JG.local TXT"
"5","1.139470","192.168.100.102","224.0.0.251","MDNS","83","Standard query 0x0000 ANY HP-JG._dosvc._tcp.local, ""QM"" question"
"6","1.140165","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","103","Standard query 0x0000 ANY HP-JG._dosvc._tcp.local, ""QM"" question"
"7","1.396213","192.168.100.102","224.0.0.251","MDNS","83","Standard query 0x0000 ANY HP-JG._dosvc._tcp.local, ""QM"" question"
"8","1.397105","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","103","Standard query 0x0000 ANY HP-JG._dosvc._tcp.local, ""QM"" question"
"9","1.661204","192.168.100.102","224.0.0.251","MDNS","83","Standard query 0x0000 ANY HP-JG._dosvc._tcp.local, ""QM"" question"
"10","1.662136","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","103","Standard query 0x0000 ANY HP-JG._dosvc._tcp.local, ""QM"" question"
"11","1.930670","192.168.100.102","224.0.0.251","MDNS","259","Standard query response 0x0000 PTR, cache flush HP-JG._dosvc._tcp.local SRV, cache flush 0 0 7680 HP-JG.local TXT, cache flush A, cache flush 192.168.100.102 AAAA, cache flush fe80::69a5:ccfc:54ae:f895"
"12","1.932876","192.168.100.102","224.0.0.251","MDNS","205","Standard query response 0x0000 SRV, cache flush 0 0 7680 HP-JG.local TXT, cache flush A, cache flush 192.168.100.102 AAAA, cache flush fe80::69a5:ccfc:54ae:f895"
"13","2.000701","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"14","2.790473","192.168.100.102","192.168.100.1","DNS","98","Standard query 0xadd8 A telemetry.individual.githubcopilot.com"
"15","2.843455","192.168.100.1","192.168.100.102","DNS","98","Standard query response 0xadd8 Refused A telemetry.individual.githubcopilot.com"
"16","3.001174","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"17","5.001252","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"18","6.002216","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"19","7.003241","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"20","8.002251","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
