"No.","Time","Source","Destination","Protocol","Length","Info"
"1388","384.583942","192.168.100.102","192.168.100.1","TCP","54","56610  >  8888 [ACK] Seq=423 Ack=39221 Win=65280 Len=0"
"1389","384.586623","192.168.100.1","192.168.100.102","TCP","174","8888  >  56610 [PSH, ACK] Seq=39221 Ack=423 Win=14600 Len=120"
"1390","384.630843","192.168.100.102","192.168.100.1","TCP","54","56610  >  8888 [ACK] Seq=423 Ack=39341 Win=65024 Len=0"
"1391","384.637263","192.168.100.1","192.168.100.102","TCP","134","8888  >  56610 [PSH, ACK] Seq=39341 Ack=423 Win=14600 Len=80"
"1392","384.691005","192.168.100.102","192.168.100.1","TCP","54","56610  >  8888 [ACK] Seq=423 Ack=39421 Win=65024 Len=0"
"1393","384.694339","192.168.100.1","192.168.100.102","TCP","174","8888  >  56610 [PSH, ACK] Seq=39421 Ack=423 Win=14600 Len=120"
"1394","384.736457","192.168.100.102","192.168.100.1","TCP","54","56610  >  8888 [ACK] Seq=423 Ack=39541 Win=64768 Len=0"
"1395","384.799525","192.168.100.102","192.168.100.1","TCP","54","56610  >  8888 [FIN, ACK] Seq=423 Ack=39541 Win=64768 Len=0"
"1396","384.947213","192.168.100.1","192.168.100.102","TCP","574","8888  >  56610 [PSH, ACK] Seq=39541 Ack=423 Win=14600 Len=520"
"1397","384.947300","192.168.100.102","192.168.100.1","TCP","54","56610  >  8888 [RST, ACK] Seq=424 Ack=40061 Win=0 Len=0"
"1398","385.000072","192.168.100.1","192.168.100.102","TCP","54","[TCP Dup ACK 1356#1] 8888  >  56610 [ACK] Seq=40061 Ack=423 Win=14600 Len=0"
"1399","385.201329","192.168.100.1","192.168.100.102","TCP","694","[TCP Window Full] [TCP Spurious Retransmission] 8888  >  56610 [PSH, ACK] Seq=39421 Ack=423 Win=14600 Len=640"
"1400","385.295086","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x1c7d, seq=0/0, ttl=64 (reply in 1401)"
"1401","385.295457","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x1c7d, seq=0/0, ttl=128 (request in 1400)"
"1402","385.302885","192.168.100.1","192.168.100.255","UDP","86","53785  >  8668 Len=44"
"1403","385.710461","192.168.100.1","192.168.100.102","TCP","694","[TCP Window Full] [TCP Spurious Retransmission] 8888  >  56610 [PSH, ACK] Seq=39421 Ack=423 Win=14600 Len=640"
"1404","386.338426","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x3a7d, seq=0/0, ttl=64 (reply in 1405)"
"1405","386.338914","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x3a7d, seq=0/0, ttl=128 (request in 1404)"
"1406","386.344781","192.168.100.1","192.168.100.255","UDP","86","53785  >  8668 Len=44"
"1407","386.729224","192.168.100.1","192.168.100.102","TCP","694","[TCP Window Full] [TCP Spurious Retransmission] 8888  >  56610 [PSH, ACK] Seq=39421 Ack=423 Win=14600 Len=640"
"1408","387.360283","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x567d, seq=0/0, ttl=64 (reply in 1409)"
"1409","387.360556","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x567d, seq=0/0, ttl=128 (request in 1408)"
"1410","387.370337","192.168.100.1","192.168.100.255","UDP","86","53785  >  8668 Len=44"
"1411","388.454958","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x747d, seq=0/0, ttl=64 (reply in 1412)"
"1412","388.455316","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x747d, seq=0/0, ttl=128 (request in 1411)"
"1413","388.466354","192.168.100.1","192.168.100.255","UDP","86","53785  >  8668 Len=44"
"1414","388.768476","192.168.100.1","192.168.100.102","TCP","694","[TCP Window Full] [TCP Spurious Retransmission] 8888  >  56610 [PSH, ACK] Seq=39421 Ack=423 Win=14600 Len=640"
"1415","389.538790","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x917d, seq=0/0, ttl=64 (reply in 1416)"
"1416","389.539070","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x917d, seq=0/0, ttl=128 (request in 1415)"
